Date,Bee_color,Nest_Number,Time_Entered,Time_Exited,Time_Entered_fixed,Time_Exited_fixed,Time_Entered_dt,Time_Exited_dt,Duration_minutes,ground_temperature_F
2025-06-23,Pi/P,14,11:27,11:29,11:27 AM,11:29 AM,2025-06-23T11:27:00Z,2025-06-23T11:29:00Z,2,86
2025-06-23,Pi/P,12,12:28,12:31,12:28 PM,12:31 PM,2025-06-23T12:28:00Z,2025-06-23T12:31:00Z,3,95
2025-06-23,Gold,21,11:41,12:14,11:41 AM,12:14 PM,2025-06-23T11:41:00Z,2025-06-23T12:14:00Z,33,95
2025-06-23,Dark Green,10,11:43,12:35,11:43 AM,12:35 PM,2025-06-23T11:43:00Z,2025-06-23T12:35:00Z,52,95
2025-06-23,B/Au,30,12:11,12:17,12:11 PM,12:17 PM,2025-06-23T12:11:00Z,2025-06-23T12:17:00Z,6,95
2025-06-23,B/Au,30,12:49,12:57,12:49 PM,12:57 PM,2025-06-23T12:49:00Z,2025-06-23T12:57:00Z,8,95
2025-06-23,Dg/W,23,12:51,1:28,12:51 PM,1:28 PM,2025-06-23T12:51:00Z,2025-06-23T13:28:00Z,37,94
2025-06-24,Dg/Pi,3,10:39,10:42,10:39 AM,10:42 AM,2025-06-24T10:39:00Z,2025-06-24T10:42:00Z,3,73
2025-06-24,Dg/Pi,3,12:42,1:17,12:42 PM,1:17 PM,2025-06-24T12:42:00Z,2025-06-24T13:17:00Z,35,78
2025-06-24,B/Au,30,1:11,1:14,1:11 PM,1:14 PM,2025-06-24T13:11:00Z,2025-06-24T13:14:00Z,3,78
2025-06-24,B/O,33,10:52,10:53,10:52 AM,10:53 AM,2025-06-24T10:52:00Z,2025-06-24T10:53:00Z,1,75
2025-06-24,White,15,11:12,11:27,11:12 AM,11:27 AM,2025-06-24T11:12:00Z,2025-06-24T11:27:00Z,15,77
2025-06-24,Gold,13,11:58,11:58,11:58 AM,11:58 AM,2025-06-24T11:58:00Z,2025-06-24T11:58:00Z,0,77
2025-06-24,Dg/Y,22,12:34,12:55,12:34 PM,12:55 PM,2025-06-24T12:34:00Z,2025-06-24T12:55:00Z,21,77
2025-06-24,PY,29,12:47,12:49,12:47 PM,12:49 PM,2025-06-24T12:47:00Z,2025-06-24T12:49:00Z,2,77
2025-06-24,GY,20,11:32,11:38,11:32 AM,11:38 AM,2025-06-24T11:32:00Z,2025-06-24T11:38:00Z,6,78
2025-06-24,GY,20,12:27,12:31,12:27 PM,12:31 PM,2025-06-24T12:27:00Z,2025-06-24T12:31:00Z,4,77
2025-06-24,GY,20,12:31,12:33,12:31 PM,12:33 PM,2025-06-24T12:31:00Z,2025-06-24T12:33:00Z,2,78
2025-06-24,Unknown,32,12:14,12:57,12:14 PM,12:57 PM,2025-06-24T12:14:00Z,2025-06-24T12:57:00Z,43,77
2025-06-24,Pi/P,14,12:34,12:37,12:34 PM,12:37 PM,2025-06-24T12:34:00Z,2025-06-24T12:37:00Z,3,78
2025-06-24,Pi/P,14,12:37,12:45,12:37 PM,12:45 PM,2025-06-24T12:37:00Z,2025-06-24T12:45:00Z,8,77
2025-06-24,Dg/O,17,11:49,12:00,11:49 AM,12:00 PM,2025-06-24T11:49:00Z,2025-06-24T12:00:00Z,11,77
2025-06-24,Dg/O,17,12:03,12:04,12:03 PM,12:04 PM,2025-06-24T12:03:00Z,2025-06-24T12:04:00Z,1,77
2025-06-24,OY,34,12:02,12:11,12:02 PM,12:11 PM,2025-06-24T12:02:00Z,2025-06-24T12:11:00Z,9,77
2025-06-24,GP,12,12:17,12:19,12:17 PM,12:19 PM,2025-06-24T12:17:00Z,2025-06-24T12:19:00Z,2,77
2025-06-24,GP,12,12:41,12:42,12:41 PM,12:42 PM,2025-06-24T12:41:00Z,2025-06-24T12:42:00Z,1,77
2025-06-24,GP,12,12:42,12:50,12:42 PM,12:50 PM,2025-06-24T12:42:00Z,2025-06-24T12:50:00Z,8,77
2025-06-24,GP,12,12:51,1:04,12:51 PM,1:04 PM,2025-06-24T12:51:00Z,2025-06-24T13:04:00Z,13,78
2025-06-24,GP,12,1:04,1:05,1:04 PM,1:05 PM,2025-06-24T13:04:00Z,2025-06-24T13:05:00Z,1,78
2025-06-25,BO,33,12:19,12:27,12:19 PM,12:27 PM,2025-06-25T12:19:00Z,2025-06-25T12:27:00Z,8,77
2025-06-25,BO,33,1:54,1:58,1:54 PM,1:58 PM,2025-06-25T13:54:00Z,2025-06-25T13:58:00Z,4,87
2025-06-25,Au/Pi,32,11:47,12:08,11:47 AM,12:08 PM,2025-06-25T11:47:00Z,2025-06-25T12:08:00Z,21,73
2025-06-25,Au/Pi,32,1:42,1:49,1:42 PM,1:49 PM,2025-06-25T13:42:00Z,2025-06-25T13:49:00Z,7,86
2025-06-25,Dg/P,21,12:50,12:55,12:50 PM,12:55 PM,2025-06-25T12:50:00Z,2025-06-25T12:55:00Z,5,80
2025-06-25,Dg/P,21,1:14,1:19,1:14 PM,1:19 PM,2025-06-25T13:14:00Z,2025-06-25T13:19:00Z,5,82
2025-06-25,Dg/P,21,1:37,1:41,1:37 PM,1:41 PM,2025-06-25T13:37:00Z,2025-06-25T13:41:00Z,4,86
