Date,Time Entered,Time Exited,time_en_with_ampm,time_ex_with_ampm,time_en_fixed,time_ex_fixed,time_ex_datetime,time_ex_24hr,exit_datetime,date_only
2025-06-25,N/A,11:36,NA,11:36 AM,NA,11:36:00,2025-06-25T11:36:00Z,11:36:00,2025-06-25T11:36:00Z,2025-06-25
2025-06-25,N/A,11:47,NA,11:47 AM,NA,11:47:00,2025-06-25T11:47:00Z,11:47:00,2025-06-25T11:47:00Z,2025-06-25
2025-06-25,11:47,12:08,11:47 AM,12:08 PM,11:47:00,12:08:00,2025-06-25T12:08:00Z,12:08:00,2025-06-25T12:08:00Z,2025-06-25
2025-06-25,1:42,1:49,1:42 PM,1:49 PM,13:42:00,13:49:00,2025-06-25T13:49:00Z,13:49:00,2025-06-25T13:49:00Z,2025-06-25
2025-06-25,N/A,11:59,NA,11:59 AM,NA,11:59:00,2025-06-25T11:59:00Z,11:59:00,2025-06-25T11:59:00Z,2025-06-25
2025-06-25,12:50,12:55,12:50 PM,12:55 PM,12:50:00,12:55:00,2025-06-25T12:55:00Z,12:55:00,2025-06-25T12:55:00Z,2025-06-25
2025-06-25,1:14,1:19,1:14 PM,1:19 PM,13:14:00,13:19:00,2025-06-25T13:19:00Z,13:19:00,2025-06-25T13:19:00Z,2025-06-25
2025-06-25,1:37,1:41,1:37 PM,1:41 PM,13:37:00,13:41:00,2025-06-25T13:41:00Z,13:41:00,2025-06-25T13:41:00Z,2025-06-25
2025-06-25,N/A,12:00,NA,12:00 PM,NA,12:00:00,2025-06-25T12:00:00Z,12:00:00,2025-06-25T12:00:00Z,2025-06-25
2025-06-25,12:17,12:20,12:17 PM,12:20 PM,12:17:00,12:20:00,2025-06-25T12:20:00Z,12:20:00,2025-06-25T12:20:00Z,2025-06-25
2025-06-25,12:37,12:42,12:37 PM,12:42 PM,12:37:00,12:42:00,2025-06-25T12:42:00Z,12:42:00,2025-06-25T12:42:00Z,2025-06-25
2025-06-25,1:14,1:18,1:14 PM,1:18 PM,13:14:00,13:18:00,2025-06-25T13:18:00Z,13:18:00,2025-06-25T13:18:00Z,2025-06-25
2025-06-25,N/A,12:04,NA,12:04 PM,NA,12:04:00,2025-06-25T12:04:00Z,12:04:00,2025-06-25T12:04:00Z,2025-06-25
2025-06-25,12:04,12:06,12:04 PM,12:06 PM,12:04:00,12:06:00,2025-06-25T12:06:00Z,12:06:00,2025-06-25T12:06:00Z,2025-06-25
2025-06-25,N/A,12:32,NA,12:32 PM,NA,12:32:00,2025-06-25T12:32:00Z,12:32:00,2025-06-25T12:32:00Z,2025-06-25
2025-06-25,12:48,12:53,12:48 PM,12:53 PM,12:48:00,12:53:00,2025-06-25T12:53:00Z,12:53:00,2025-06-25T12:53:00Z,2025-06-25
2025-06-25,1:36,1:44,1:36 PM,1:44 PM,13:36:00,13:44:00,2025-06-25T13:44:00Z,13:44:00,2025-06-25T13:44:00Z,2025-06-25
2025-06-25,12:16,1:09,12:16 PM,1:09 PM,12:16:00,13:09:00,2025-06-25T13:09:00Z,13:09:00,2025-06-25T13:09:00Z,2025-06-25
2025-06-25,N/A,12:19,NA,12:19 PM,NA,12:19:00,2025-06-25T12:19:00Z,12:19:00,2025-06-25T12:19:00Z,2025-06-25
2025-06-25,N/A,12:24,NA,12:24 PM,NA,12:24:00,2025-06-25T12:24:00Z,12:24:00,2025-06-25T12:24:00Z,2025-06-25
2025-06-25,12:24,12:44,12:24 PM,12:44 PM,12:24:00,12:44:00,2025-06-25T12:44:00Z,12:44:00,2025-06-25T12:44:00Z,2025-06-25
