Date,Time Entered,Time Exited,bee_exit_datetime,datetime_ground_temp,ground_temperature_F,time_diff_secs,station,ws_datetime,tmpf,relh,skyc1,ws_time_diff_secs
2025-06-23,N/A,9:17,2025-06-23T09:17:00Z,2025-06-23T09:25:00Z,77,1440,SBA,2025-06-23T08:53:00Z,65,72.64,CLR,1440
2025-06-23,N/A,9:21,2025-06-23T09:21:00Z,2025-06-23T09:25:00Z,77,1680,SBA,2025-06-23T08:53:00Z,65,72.64,CLR,1680
2025-06-23,N/A,9:27,2025-06-23T09:27:00Z,2025-06-23T09:25:00Z,77,1560,SBA,2025-06-23T09:53:00Z,67,67.78,CLR,1560
2025-06-23,9:24,9:30,2025-06-23T09:30:00Z,2025-06-23T09:25:00Z,77,1380,SBA,2025-06-23T09:53:00Z,67,67.78,CLR,1380
2025-06-23,N/A,9:32,2025-06-23T09:32:00Z,2025-06-23T09:35:00Z,82,1260,SBA,2025-06-23T09:53:00Z,67,67.78,CLR,1260
2025-06-23,9:27,9:47,2025-06-23T09:47:00Z,2025-06-23T09:45:00Z,84,360,SBA,2025-06-23T09:53:00Z,67,67.78,CLR,360
2025-06-23,9:44,9:49,2025-06-23T09:49:00Z,2025-06-23T09:45:00Z,84,240,SBA,2025-06-23T09:53:00Z,67,67.78,CLR,240
2025-06-23,9:55,9:58,2025-06-23T09:58:00Z,2025-06-23T09:55:00Z,84,300,SBA,2025-06-23T09:53:00Z,67,67.78,CLR,300
2025-06-23,10:00,10:06,2025-06-23T10:06:00Z,2025-06-23T10:05:00Z,84,780,SBA,2025-06-23T09:53:00Z,67,67.78,CLR,780
2025-06-23,9:40,10:15,2025-06-23T10:15:00Z,2025-06-23T10:15:00Z,82,1320,SBA,2025-06-23T09:53:00Z,67,67.78,CLR,1320
2025-06-23,10:36,10:43,2025-06-23T10:43:00Z,2025-06-23T10:45:00Z,82,600,SBA,2025-06-23T10:53:00Z,67,67.78,CLR,600
2025-06-23,11:24,11:29,2025-06-23T11:29:00Z,2025-06-23T11:25:00Z,86,1440,SBA,2025-06-23T11:53:00Z,68,65.48,SCT,1440
2025-06-23,12:00,12:07,2025-06-23T12:07:00Z,2025-06-23T12:05:00Z,93,840,SBA,2025-06-23T11:53:00Z,68,65.48,SCT,840
2025-06-23,11:41,12:14,2025-06-23T12:14:00Z,2025-06-23T12:15:00Z,95,1260,SBA,2025-06-23T11:53:00Z,68,65.48,SCT,1260
2025-06-23,12:11,12:17,2025-06-23T12:17:00Z,2025-06-23T12:15:00Z,95,1440,SBA,2025-06-23T11:53:00Z,68,65.48,SCT,1440
2025-06-23,12:13,12:18,2025-06-23T12:18:00Z,2025-06-23T12:15:00Z,95,1500,SBA,2025-06-23T11:53:00Z,68,65.48,SCT,1500
2025-06-23,11:36,12:25,2025-06-23T12:25:00Z,2025-06-23T12:25:00Z,95,1680,SBA,2025-06-23T12:53:00Z,68,65.48,SCT,1680
2025-06-23,12:28,12:31,2025-06-23T12:31:00Z,2025-06-23T12:35:00Z,95,1320,SBA,2025-06-23T12:53:00Z,68,65.48,SCT,1320
2025-06-23,11:43,12:35,2025-06-23T12:35:00Z,2025-06-23T12:35:00Z,95,1080,SBA,2025-06-23T12:53:00Z,68,65.48,SCT,1080
2025-06-23,12:38,12:44,2025-06-23T12:44:00Z,2025-06-23T12:45:00Z,95,540,SBA,2025-06-23T12:53:00Z,68,65.48,SCT,540
